Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026302,South Kesteven 010D,-8,Does not apply,0
E01026302,South Kesteven 010D,0,Owned: Owns outright,223
E01026302,South Kesteven 010D,1,Owned: Owns with a mortgage or loan,189
E01026302,South Kesteven 010D,2,Shared ownership: Shared ownership,4
E01026302,South Kesteven 010D,3,Social rented: Rents from council or Local Authority,6
E01026302,South Kesteven 010D,4,Social rented: Other social rented,1
E01026302,South Kesteven 010D,5,Private rented: Private landlord or letting agency,60
E01026302,South Kesteven 010D,6,Private rented: Other private rented,10
E01026302,South Kesteven 010D,7,Lives rent free,0
E01026303,South Kesteven 014A,-8,Does not apply,0
E01026303,South Kesteven 014A,0,Owned: Owns outright,235
E01026303,South Kesteven 014A,1,Owned: Owns with a mortgage or loan,213
E01026303,South Kesteven 014A,2,Shared ownership: Shared ownership,2
E01026303,South Kesteven 014A,3,Social rented: Rents from council or Local Authority,6
E01026303,South Kesteven 014A,4,Social rented: Other social rented,0
E01026303,South Kesteven 014A,5,Private rented: Private landlord or letting agency,61
E01026303,South Kesteven 014A,6,Private rented: Other private rented,8
E01026303,South Kesteven 014A,7,Lives rent free,0
E01026304,South Kesteven 014B,-8,Does not apply,0
E01026304,South Kesteven 014B,0,Owned: Owns outright,290
E01026304,South Kesteven 014B,1,Owned: Owns with a mortgage or loan,243
E01026304,South Kesteven 014B,2,Shared ownership: Shared ownership,4
E01026304,South Kesteven 014B,3,Social rented: Rents from council or Local Authority,4
E01026304,South Kesteven 014B,4,Social rented: Other social rented,6
E01026304,South Kesteven 014B,5,Private rented: Private landlord or letting agency,65
E01026304,South Kesteven 014B,6,Private rented: Other private rented,13
E01026304,South Kesteven 014B,7,Lives rent free,0
E01026305,South Kesteven 014C,-8,Does not apply,0
E01026305,South Kesteven 014C,0,Owned: Owns outright,229
E01026305,South Kesteven 014C,1,Owned: Owns with a mortgage or loan,231
E01026305,South Kesteven 014C,2,Shared ownership: Shared ownership,1
E01026305,South Kesteven 014C,3,Social rented: Rents from council or Local Authority,3
E01026305,South Kesteven 014C,4,Social rented: Other social rented,3
E01026305,South Kesteven 014C,5,Private rented: Private landlord or letting agency,131
E01026305,South Kesteven 014C,6,Private rented: Other private rented,10
E01026305,South Kesteven 014C,7,Lives rent free,0
E01026306,South Kesteven 014D,-8,Does not apply,0
E01026306,South Kesteven 014D,0,Owned: Owns outright,252
E01026306,South Kesteven 014D,1,Owned: Owns with a mortgage or loan,235
E01026306,South Kesteven 014D,2,Shared ownership: Shared ownership,35
E01026306,South Kesteven 014D,3,Social rented: Rents from council or Local Authority,113
E01026306,South Kesteven 014D,4,Social rented: Other social rented,86
E01026306,South Kesteven 014D,5,Private rented: Private landlord or letting agency,76
E01026306,South Kesteven 014D,6,Private rented: Other private rented,15
E01026306,South Kesteven 014D,7,Lives rent free,4
E01026307,South Kesteven 014E,-8,Does not apply,0
E01026307,South Kesteven 014E,0,Owned: Owns outright,261
E01026307,South Kesteven 014E,1,Owned: Owns with a mortgage or loan,190
E01026307,South Kesteven 014E,2,Shared ownership: Shared ownership,0
E01026307,South Kesteven 014E,3,Social rented: Rents from council or Local Authority,5
E01026307,South Kesteven 014E,4,Social rented: Other social rented,1
E01026307,South Kesteven 014E,5,Private rented: Private landlord or letting agency,87
E01026307,South Kesteven 014E,6,Private rented: Other private rented,12
E01026307,South Kesteven 014E,7,Lives rent free,0
E01026308,South Kesteven 005A,-8,Does not apply,0
E01026308,South Kesteven 005A,0,Owned: Owns outright,64
E01026308,South Kesteven 005A,1,Owned: Owns with a mortgage or loan,112
E01026308,South Kesteven 005A,2,Shared ownership: Shared ownership,1
E01026308,South Kesteven 005A,3,Social rented: Rents from council or Local Authority,344
E01026308,South Kesteven 005A,4,Social rented: Other social rented,45
E01026308,South Kesteven 005A,5,Private rented: Private landlord or letting agency,52
E01026308,South Kesteven 005A,6,Private rented: Other private rented,5
E01026308,South Kesteven 005A,7,Lives rent free,2
E01026309,South Kesteven 005B,-8,Does not apply,0
E01026309,South Kesteven 005B,0,Owned: Owns outright,270
E01026309,South Kesteven 005B,1,Owned: Owns with a mortgage or loan,226
E01026309,South Kesteven 005B,2,Shared ownership: Shared ownership,1
E01026309,South Kesteven 005B,3,Social rented: Rents from council or Local Authority,61
E01026309,South Kesteven 005B,4,Social rented: Other social rented,12
E01026309,South Kesteven 005B,5,Private rented: Private landlord or letting agency,137
E01026309,South Kesteven 005B,6,Private rented: Other private rented,17
E01026309,South Kesteven 005B,7,Lives rent free,2
E01026310,South Kesteven 005C,-8,Does not apply,0
E01026310,South Kesteven 005C,0,Owned: Owns outright,161
E01026310,South Kesteven 005C,1,Owned: Owns with a mortgage or loan,122
E01026310,South Kesteven 005C,2,Shared ownership: Shared ownership,2
E01026310,South Kesteven 005C,3,Social rented: Rents from council or Local Authority,106
E01026310,South Kesteven 005C,4,Social rented: Other social rented,7
E01026310,South Kesteven 005C,5,Private rented: Private landlord or letting agency,41
E01026310,South Kesteven 005C,6,Private rented: Other private rented,13
E01026310,South Kesteven 005C,7,Lives rent free,0
E01026311,South Kesteven 005D,-8,Does not apply,0
E01026311,South Kesteven 005D,0,Owned: Owns outright,134
E01026311,South Kesteven 005D,1,Owned: Owns with a mortgage or loan,186
E01026311,South Kesteven 005D,2,Shared ownership: Shared ownership,4
E01026311,South Kesteven 005D,3,Social rented: Rents from council or Local Authority,150
E01026311,South Kesteven 005D,4,Social rented: Other social rented,42
E01026311,South Kesteven 005D,5,Private rented: Private landlord or letting agency,153
E01026311,South Kesteven 005D,6,Private rented: Other private rented,6
E01026311,South Kesteven 005D,7,Lives rent free,4
E01026312,South Kesteven 005E,-8,Does not apply,0
E01026312,South Kesteven 005E,0,Owned: Owns outright,41
E01026312,South Kesteven 005E,1,Owned: Owns with a mortgage or loan,87
E01026312,South Kesteven 005E,2,Shared ownership: Shared ownership,4
E01026312,South Kesteven 005E,3,Social rented: Rents from council or Local Authority,243
E01026312,South Kesteven 005E,4,Social rented: Other social rented,37
E01026312,South Kesteven 005E,5,Private rented: Private landlord or letting agency,32
E01026312,South Kesteven 005E,6,Private rented: Other private rented,1
E01026312,South Kesteven 005E,7,Lives rent free,3
E01026313,South Kesteven 001A,-8,Does not apply,0
E01026313,South Kesteven 001A,0,Owned: Owns outright,295
E01026313,South Kesteven 001A,1,Owned: Owns with a mortgage or loan,205
E01026313,South Kesteven 001A,2,Shared ownership: Shared ownership,5
E01026313,South Kesteven 001A,3,Social rented: Rents from council or Local Authority,44
E01026313,South Kesteven 001A,4,Social rented: Other social rented,10
E01026313,South Kesteven 001A,5,Private rented: Private landlord or letting agency,54
E01026313,South Kesteven 001A,6,Private rented: Other private rented,16
E01026313,South Kesteven 001A,7,Lives rent free,0
E01026314,South Kesteven 001B,-8,Does not apply,0
E01026314,South Kesteven 001B,0,Owned: Owns outright,248
E01026314,South Kesteven 001B,1,Owned: Owns with a mortgage or loan,191
E01026314,South Kesteven 001B,2,Shared ownership: Shared ownership,3
E01026314,South Kesteven 001B,3,Social rented: Rents from council or Local Authority,49
E01026314,South Kesteven 001B,4,Social rented: Other social rented,18
E01026314,South Kesteven 001B,5,Private rented: Private landlord or letting agency,63
E01026314,South Kesteven 001B,6,Private rented: Other private rented,14
E01026314,South Kesteven 001B,7,Lives rent free,0
E01026315,South Kesteven 009A,-8,Does not apply,0
E01026315,South Kesteven 009A,0,Owned: Owns outright,332
E01026315,South Kesteven 009A,1,Owned: Owns with a mortgage or loan,215
E01026315,South Kesteven 009A,2,Shared ownership: Shared ownership,2
E01026315,South Kesteven 009A,3,Social rented: Rents from council or Local Authority,92
E01026315,South Kesteven 009A,4,Social rented: Other social rented,52
E01026315,South Kesteven 009A,5,Private rented: Private landlord or letting agency,243
E01026315,South Kesteven 009A,6,Private rented: Other private rented,28
E01026315,South Kesteven 009A,7,Lives rent free,0
E01026316,South Kesteven 007D,-8,Does not apply,0
E01026316,South Kesteven 007D,0,Owned: Owns outright,416
E01026316,South Kesteven 007D,1,Owned: Owns with a mortgage or loan,289
E01026316,South Kesteven 007D,2,Shared ownership: Shared ownership,4
E01026316,South Kesteven 007D,3,Social rented: Rents from council or Local Authority,69
E01026316,South Kesteven 007D,4,Social rented: Other social rented,48
E01026316,South Kesteven 007D,5,Private rented: Private landlord or letting agency,189
E01026316,South Kesteven 007D,6,Private rented: Other private rented,47
E01026316,South Kesteven 007D,7,Lives rent free,0
E01026317,South Kesteven 006A,-8,Does not apply,0
E01026317,South Kesteven 006A,0,Owned: Owns outright,184
E01026317,South Kesteven 006A,1,Owned: Owns with a mortgage or loan,244
E01026317,South Kesteven 006A,2,Shared ownership: Shared ownership,7
E01026317,South Kesteven 006A,3,Social rented: Rents from council or Local Authority,47
E01026317,South Kesteven 006A,4,Social rented: Other social rented,78
E01026317,South Kesteven 006A,5,Private rented: Private landlord or letting agency,528
E01026317,South Kesteven 006A,6,Private rented: Other private rented,29
E01026317,South Kesteven 006A,7,Lives rent free,0
E01026318,South Kesteven 006B,-8,Does not apply,0
E01026318,South Kesteven 006B,0,Owned: Owns outright,143
E01026318,South Kesteven 006B,1,Owned: Owns with a mortgage or loan,263
E01026318,South Kesteven 006B,2,Shared ownership: Shared ownership,29
E01026318,South Kesteven 006B,3,Social rented: Rents from council or Local Authority,62
E01026318,South Kesteven 006B,4,Social rented: Other social rented,127
E01026318,South Kesteven 006B,5,Private rented: Private landlord or letting agency,372
E01026318,South Kesteven 006B,6,Private rented: Other private rented,25
E01026318,South Kesteven 006B,7,Lives rent free,2
E01026319,South Kesteven 006C,-8,Does not apply,0
E01026319,South Kesteven 006C,0,Owned: Owns outright,390
E01026319,South Kesteven 006C,1,Owned: Owns with a mortgage or loan,388
E01026319,South Kesteven 006C,2,Shared ownership: Shared ownership,24
E01026319,South Kesteven 006C,3,Social rented: Rents from council or Local Authority,16
E01026319,South Kesteven 006C,4,Social rented: Other social rented,49
E01026319,South Kesteven 006C,5,Private rented: Private landlord or letting agency,224
E01026319,South Kesteven 006C,6,Private rented: Other private rented,19
E01026319,South Kesteven 006C,7,Lives rent free,1
E01026321,South Kesteven 004B,-8,Does not apply,0
E01026321,South Kesteven 004B,0,Owned: Owns outright,299
E01026321,South Kesteven 004B,1,Owned: Owns with a mortgage or loan,210
E01026321,South Kesteven 004B,2,Shared ownership: Shared ownership,7
E01026321,South Kesteven 004B,3,Social rented: Rents from council or Local Authority,0
E01026321,South Kesteven 004B,4,Social rented: Other social rented,8
E01026321,South Kesteven 004B,5,Private rented: Private landlord or letting agency,62
E01026321,South Kesteven 004B,6,Private rented: Other private rented,11
E01026321,South Kesteven 004B,7,Lives rent free,0
E01026322,South Kesteven 004C,-8,Does not apply,0
E01026322,South Kesteven 004C,0,Owned: Owns outright,254
E01026322,South Kesteven 004C,1,Owned: Owns with a mortgage or loan,193
E01026322,South Kesteven 004C,2,Shared ownership: Shared ownership,3
E01026322,South Kesteven 004C,3,Social rented: Rents from council or Local Authority,2
E01026322,South Kesteven 004C,4,Social rented: Other social rented,1
E01026322,South Kesteven 004C,5,Private rented: Private landlord or letting agency,118
E01026322,South Kesteven 004C,6,Private rented: Other private rented,19
E01026322,South Kesteven 004C,7,Lives rent free,0
E01026323,South Kesteven 004D,-8,Does not apply,0
E01026323,South Kesteven 004D,0,Owned: Owns outright,234
E01026323,South Kesteven 004D,1,Owned: Owns with a mortgage or loan,171
E01026323,South Kesteven 004D,2,Shared ownership: Shared ownership,2
E01026323,South Kesteven 004D,3,Social rented: Rents from council or Local Authority,166
E01026323,South Kesteven 004D,4,Social rented: Other social rented,83
E01026323,South Kesteven 004D,5,Private rented: Private landlord or letting agency,380
